variable,MVPA of atleast 150min,Steps in 1000s,Baseline HR,Recovery HR,Peak HR,Excess distance (m),"Grip strength in kg 
per 10kg body weight"
TC,"-4.59 	(-12.46, 3.27)","0.61 	(-0.32, 1.54)","-0.11 	(-0.39, 0.18)","-0.46 	(-0.78, -0.14)","0.19 	(0.01, 0.38)","-0.05 	(-0.11, 0.02)","1.54 	(-1.83, 4.90)"
TG,"1.15 	(-16.48, 18.79)","-2.84 	(-5.42, -0.26)","0.07 	(-0.80, 0.95)","-0.40 	(-1.37, 0.57)","0.30 	(-0.23, 0.82)","-0.05 	(-0.22, 0.12)","1.12 	(-7.09, 9.33)"
HDLc,"-0.97 	(-2.36, 0.42)","0.34 	(0.13, 0.55)","-0.01 	(-0.08, 0.07)","-0.02 	(-0.10, 0.06)","0.03 	(-0.02, 0.07)","-0.00 	(-0.02, 0.02)","0.40 	(-0.38, 1.18)"
LDLc,"-1.93 	(-8.70, 4.84)","0.87 	(0.00, 1.74)","-0.14 	(-0.40, 0.12)","-0.21 	(-0.52, 0.09)","0.19 	(0.01, 0.36)","-0.01 	(-0.07, 0.04)","-0.15 	(-3.27, 2.96)"
ApoA1,"-3.97 	(-8.24, 0.30)","0.91 	(0.25, 1.58)","0.06 	(-0.16, 0.28)","0.01 	(-0.20, 0.23)","0.05 	(-0.08, 0.17)","0.00 	(-0.04, 0.05)","-0.23 	(-2.62, 2.16)"
ApoB,"-5.19 	(-10.52, 0.15)","0.59 	(-0.04, 1.22)","0.03 	(-0.19, 0.26)","-0.30 	(-0.55, -0.05)","0.10 	(-0.03, 0.23)","-0.01 	(-0.05, 0.04)","0.34 	(-2.20, 2.88)"
hsCRP,"-0.11 	(-0.63, 0.40)","-0.02 	(-0.10, 0.05)","0.05 	(0.02, 0.07)","-0.01 	(-0.04, 0.02)","0.00 	(-0.01, 0.02)","-0.00 	(-0.01, 0.00)","-0.37 	(-0.73, 0.00)"
Insulin,"0.25 	(-1.23, 1.74)","-0.18 	(-0.44, 0.08)","0.11 	(0.02, 0.20)","-0.09 	(-0.17, -0.01)","0.03 	(-0.01, 0.07)","-0.03 	(-0.04, -0.01)","-0.37 	(-1.21, 0.46)"
Glucose,"1.30 	(-3.11, 5.72)","-0.65 	(-1.25, -0.06)","0.29 	(0.13, 0.45)","0.05 	(-0.16, 0.26)","0.10 	(-0.00, 0.20)","-0.03 	(-0.07, 0.01)","0.46 	(-1.61, 2.53)"
NEFA,"-0.05 	(-0.14, 0.04)","0.01 	(-0.00, 0.02)","0.01 	(0.00, 0.01)","0.00 	(-0.00, 0.01)","0.00 	(-0.00, 0.00)","0.00 	(-0.00, 0.00)","-0.02 	(-0.07, 0.02)"
IL10,"10.08 	(-47.08, 67.25)","-5.29 	(-12.26, 1.67)","1.65 	(-1.50, 4.80)","0.04 	(-2.48, 2.55)","-0.02 	(-1.18, 1.14)","-0.32 	(-0.80, 0.16)","-26.66 	(-58.14, 4.81)"
Adiponectin,"450.79 	(-1155.36, 2056.94)","116.49 	(-129.46, 362.44)","-67.97 	(-136.55, 0.61)","-2.14 	(-91.41, 87.12)","-3.25 	(-40.61, 34.11)","4.91 	(-10.49, 20.31)","-343.63 	(-1127.69, 440.43)"
Leptin,"304.46 	(-1083.82, 1692.75)","-4.46 	(-187.70, 178.77)","19.55 	(-55.82, 94.91)","27.76 	(-34.99, 90.51)","33.05 	(-6.02, 72.12)","-6.16 	(-18.20, 5.89)","-529.82 	(-1197.72, 138.09)"
TNFsR,"-42.31 	(-438.52, 353.90)","-9.08 	(-66.38, 48.22)","-7.13 	(-27.63, 13.38)","-9.74 	(-22.52, 3.04)","2.54 	(-6.43, 11.51)","0.57 	(-2.66, 3.80)","-215.78 	(-379.19, -52.38)"
Resistin,"104.43 	(-495.61, 704.47)","17.98 	(-95.03, 130.99)","8.98 	(-15.31, 33.26)","0.95 	(-32.55, 34.45)","-10.53 	(-27.81, 6.75)","5.70 	(-0.12, 11.53)","-175.26 	(-436.72, 86.21)"
fast.PC1,"0.14 	(-0.03, 0.32)","-0.01 	(-0.04, 0.01)","-0.00 	(-0.01, 0.01)","0.01 	(0.00, 0.02)","-0.00 	(-0.01, 0.00)","0.00 	(-0.00, 0.00)","0.01 	(-0.07, 0.10)"
fast.PC2,"0.01 	(-0.19, 0.22)","-0.04 	(-0.07, -0.01)","0.02 	(0.01, 0.03)","-0.01 	(-0.02, 0.00)","0.01 	(-0.00, 0.01)","-0.00 	(-0.00, -0.00)","-0.04 	(-0.15, 0.08)"
fast.PC3,"0.03 	(-0.17, 0.22)","0.01 	(-0.02, 0.04)","0.01 	(-0.00, 0.01)","0.00 	(-0.01, 0.01)","-0.00 	(-0.01, 0.00)","-0.00 	(-0.00, 0.00)","-0.14 	(-0.24, -0.03)"
adsbp,"-1.18 	(-4.11, 1.74)","0.02 	(-0.38, 0.41)","0.12 	(-0.03, 0.27)","-0.10 	(-0.24, 0.04)","0.04 	(-0.04, 0.11)","-0.00 	(-0.03, 0.02)","-0.44 	(-1.71, 0.84)"
addbp,"-0.49 	(-2.27, 1.30)","-0.00 	(-0.24, 0.23)","0.17 	(0.09, 0.26)","-0.10 	(-0.18, -0.02)","0.02 	(-0.02, 0.06)","0.01 	(-0.01, 0.02)","0.07 	(-0.80, 0.93)"
